,destroyOpr,repairOpr,cost,cpuTime
0,1,1,1267.2262656459766,1
1,1,2,1040.4980677950055,16
2,1,3,1088.7098880557999,16
3,2,1,1267.2262656459766,1
4,2,2,1152.8998513188694,19
5,2,3,1098.04622318935,19
6,3,1,1229.8551106586203,2
7,3,2,1067.0656462043085,18
8,3,3,1113.8245165508838,19
9,4,1,1267.2262656459766,1
10,4,2,1125.5385588883266,6
11,4,3,1016.266912955642,6
