,destroyOpr,repairOpr,cost,cpuTime
0,1,1,1754.3566272032015,5
1,1,2,1296.2661458386813,44
2,1,3,1237.4516546510201,46
3,2,1,1805.7242550134029,5
4,2,2,1344.4468535870017,42
5,2,3,1319.8397679380182,50
6,3,1,1452.9865024242579,6
7,3,2,1318.6817842854236,49
8,3,3,1235.2794272339675,51
9,4,1,1686.9876321015913,4
10,4,2,1285.7501175381042,21
11,4,3,1682.3474021626234,14
