,destroyOpr,repairOpr,cost,cpuTime
0,1,1,666.850825918867,6
1,1,2,619.3202215064912,61
2,1,3,590.7042886233316,61
3,2,1,666.850825918867,6
4,2,2,549.0674608727454,96
5,2,3,545.2385598941646,95
6,3,1,666.850825918867,7
7,3,2,551.2332668821705,84
8,3,3,616.392864905233,67
9,4,1,545.2385598941646,5
10,4,2,549.8696414815433,22
11,4,3,640.6056022481389,25
