,destroyOpr,repairOpr,cost,cpuTime
0,1,1,1541.4376179321955,5
1,1,2,1218.740911535478,50
2,1,3,1184.5651636440543,63
3,2,1,1541.4376179321955,5
4,2,2,1257.8375544635667,66
5,2,3,1186.8837057742778,50
6,3,1,1541.4376179321955,5
7,3,2,1306.1550890752487,52
8,3,3,1161.5058857607078,54
9,4,1,1541.4376179321955,4
10,4,2,1244.4475230171313,16
11,4,3,1373.3792638506875,19
