,destroyOpr,repairOpr,cost,cpuTime
0,1,1,959.4807728429288,1
1,1,2,591.3900514391186,17
2,1,3,575.7877261720758,19
3,2,1,959.4807728429288,1
4,2,2,762.2264045470845,19
5,2,3,661.2231293503478,19
6,3,1,880.3767938361528,2
7,3,2,619.8808145432498,19
8,3,3,578.010613319042,20
9,4,1,939.4654229263289,1
10,4,2,573.0266546816385,6
11,4,3,593.6129385860847,6
