,instance,temp,average best distance
0,c202C16.txt,0.05,417.7328530448268
1,c202C16.txt,0.1,417.7328530448268
2,c202C16.txt,0.2,417.7328530448268
3,c202C16.txt,0.3,402.34849458287033
4,c202C16.txt,0.5,417.7328530448268
5,c202C16.txt,0.8,417.7328530448268
6,lc102.txt,0.05,644.4516663243913
7,lc102.txt,0.1,670.2000179678415
8,lc102.txt,0.2,670.2000179678415
9,lc102.txt,0.3,636.195989471666
10,lc102.txt,0.5,670.2000179678415
11,lc102.txt,0.8,723.1369552332359
12,lc108.txt,0.05,633.8957113210091
13,lc108.txt,0.1,633.8957113210091
14,lc108.txt,0.2,652.4812424024412
15,lc108.txt,0.3,643.4223164218785
16,lc108.txt,0.5,672.8618094104853
17,lc108.txt,0.8,647.9206379529655
18,lc207.txt,0.05,674.3992147505265
19,lc207.txt,0.1,655.6382899125242
20,lc207.txt,0.2,651.7107657842229
21,lc207.txt,0.3,655.6382899125242
22,lc207.txt,0.5,655.6382899125242
23,lc207.txt,0.8,664.266939688443
24,lr112.txt,0.05,1033.3790930451134
25,lr112.txt,0.1,1055.1946451259264
26,lr112.txt,0.2,1055.1946451259264
27,lr112.txt,0.3,1093.904175988704
28,lr112.txt,0.5,1093.904175988704
29,lr112.txt,0.8,1081.0489221766234
30,lr205.txt,0.05,1252.0766495638659
31,lr205.txt,0.1,1178.6141159637596
32,lr205.txt,0.2,1252.0766495638659
33,lr205.txt,0.3,1252.0766495638659
34,lr205.txt,0.5,1252.0766495638659
35,lr205.txt,0.8,1222.7515553816852
36,lrc104.txt,0.05,1172.4875504500028
37,lrc104.txt,0.1,1179.4627595988811
38,lrc104.txt,0.2,1179.4627595988811
39,lrc104.txt,0.3,1185.7989985098486
40,lrc104.txt,0.5,1179.4627595988811
41,lrc104.txt,0.8,1207.2768670307034
42,lrc206.txt,0.05,1325.5099905806615
43,lrc206.txt,0.1,1306.2438218285076
44,lrc206.txt,0.2,1392.3368323292343
45,lrc206.txt,0.3,1285.210152530934
46,lrc206.txt,0.5,1341.3305661140207
47,lrc206.txt,0.8,1382.0796011732748
48,r102C18.txt,0.05,249.01763103719503
49,r102C18.txt,0.1,249.01763103719503
50,r102C18.txt,0.2,249.01763103719503
51,r102C18.txt,0.3,249.0176310371951
52,r102C18.txt,0.5,254.7926656125549
53,r102C18.txt,0.8,249.0176310371951
54,rc204C16.txt,0.05,298.4780556745738
55,rc204C16.txt,0.1,298.4780556745738
56,rc204C16.txt,0.2,298.4780556745738
57,rc204C16.txt,0.3,298.4780556745738
58,rc204C16.txt,0.5,298.4780556745738
59,rc204C16.txt,0.8,298.4780556745738
