,instance,updateSpeed,average best distance
0,lc108.txt,0.0,654.192351045961
1,lc108.txt,0.1,649.3380940176687
2,lc108.txt,0.2,645.8250703711653
3,lc108.txt,0.30000000000000004,645.8250703711655
4,lc108.txt,0.4,660.6952238868057
5,lc108.txt,0.5,637.9574547711575
6,lc108.txt,0.6000000000000001,637.9574547711575
7,lc108.txt,0.7000000000000001,627.0107570573081
8,lc108.txt,0.8,644.3098711080133
9,lc108.txt,0.9,652.4812424024412
10,lr112.txt,0.0,1009.0097688039679
11,lr112.txt,0.1,1040.6937138712747
12,lr112.txt,0.2,1062.4910746815326
13,lr112.txt,0.30000000000000004,1017.9874297691191
14,lr112.txt,0.4,1022.1709778684512
15,lr112.txt,0.5,1025.0226186274413
16,lr112.txt,0.6000000000000001,1038.179414945945
17,lr112.txt,0.7000000000000001,1032.516255766803
18,lr112.txt,0.8,1036.474307327111
19,lr112.txt,0.9,1055.5571987308836
20,lrc206.txt,0.0,1317.6514509961992
21,lrc206.txt,0.1,1297.220045375885
22,lrc206.txt,0.2,1250.565728563491
23,lrc206.txt,0.30000000000000004,1301.5191228122815
24,lrc206.txt,0.4,1381.2751935600716
25,lrc206.txt,0.5,1324.2001260205327
26,lrc206.txt,0.6000000000000001,1387.6574303187194
27,lrc206.txt,0.7000000000000001,1301.291822635811
28,lrc206.txt,0.8,1277.246287249267
29,lrc206.txt,0.9,1311.7530547480985
30,lr205.txt,0.0,1196.6843428730524
31,lr205.txt,0.1,1256.2267997343104
32,lr205.txt,0.2,1221.7550408728225
33,lr205.txt,0.30000000000000004,1209.3174527116066
34,lr205.txt,0.4,1207.7377696784579
35,lr205.txt,0.5,1218.4023763807038
36,lr205.txt,0.6000000000000001,1249.0285026909787
37,lr205.txt,0.7000000000000001,1224.6823302726139
38,lr205.txt,0.8,1187.3206602795735
39,lr205.txt,0.9,1178.6141159637596
40,r102C18.txt,0.0,249.0176310371951
41,r102C18.txt,0.1,249.0176310371951
42,r102C18.txt,0.2,249.0176310371951
43,r102C18.txt,0.30000000000000004,249.01763103719503
44,r102C18.txt,0.4,249.01763103719503
45,r102C18.txt,0.5,249.01763103719503
46,r102C18.txt,0.6000000000000001,249.01763103719506
47,r102C18.txt,0.7000000000000001,249.01763103719506
48,r102C18.txt,0.8,249.01763103719506
49,r102C18.txt,0.9,249.01763103719503
50,lrc104.txt,0.0,1198.7415917385026
51,lrc104.txt,0.1,1211.193186848089
52,lrc104.txt,0.2,1196.8994350580285
53,lrc104.txt,0.30000000000000004,1168.6806952018228
54,lrc104.txt,0.4,1171.2681867800686
55,lrc104.txt,0.5,1189.100611858635
56,lrc104.txt,0.6000000000000001,1169.0536802918887
57,lrc104.txt,0.7000000000000001,1182.0132147274835
58,lrc104.txt,0.8,1193.572947753933
59,lrc104.txt,0.9,1172.4875504500028
60,rc204C16.txt,0.0,298.4780556745738
61,rc204C16.txt,0.1,298.4780556745738
62,rc204C16.txt,0.2,298.4780556745738
63,rc204C16.txt,0.30000000000000004,298.4780556745738
64,rc204C16.txt,0.4,298.4780556745738
65,rc204C16.txt,0.5,298.4780556745738
66,rc204C16.txt,0.6000000000000001,298.4780556745738
67,rc204C16.txt,0.7000000000000001,298.4780556745738
68,rc204C16.txt,0.8,298.4780556745738
69,rc204C16.txt,0.9,298.4780556745738
70,lc207.txt,0.0,654.0287667081083
71,lc207.txt,0.1,688.0970490950627
72,lc207.txt,0.2,658.9424888990039
73,lc207.txt,0.30000000000000004,663.6551891205293
74,lc207.txt,0.4,687.1748768070465
75,lc207.txt,0.5,687.1748768070465
76,lc207.txt,0.6000000000000001,663.776626245829
77,lc207.txt,0.7000000000000001,680.7180539690415
78,lc207.txt,0.8,643.4256691007829
79,lc207.txt,0.9,659.2091709890509
80,c202C16.txt,0.0,431.01239283355164
81,c202C16.txt,0.1,431.01239283355164
82,c202C16.txt,0.2,431.01239283355164
83,c202C16.txt,0.30000000000000004,431.01239283355164
84,c202C16.txt,0.4,431.01239283355164
85,c202C16.txt,0.5,431.01239283355164
86,c202C16.txt,0.6000000000000001,431.01239283355164
87,c202C16.txt,0.7000000000000001,411.11477800396284
88,c202C16.txt,0.8,402.34849458287033
89,c202C16.txt,0.9,417.7328530448268
90,lc102.txt,0.0,635.3459964957656
91,lc102.txt,0.1,647.3297363971725
92,lc102.txt,0.2,645.2974217595915
93,lc102.txt,0.30000000000000004,626.6372240978955
94,lc102.txt,0.4,655.2546765006088
95,lc102.txt,0.5,648.9995081067777
96,lc102.txt,0.6000000000000001,658.7130209622396
97,lc102.txt,0.7000000000000001,609.9142718327485
98,lc102.txt,0.8,617.9564355228796
99,lc102.txt,0.9,613.6703687764203
