,instance,maxNBHsize,average best distance
0,lc108.txt,10,643.5086751814154
1,lc108.txt,15,700.3613687753472
2,lc108.txt,20,648.1786284461981
3,lc108.txt,25,639.8107374099042
4,lc108.txt,30,633.0082887296858
5,lc108.txt,35,620.3023331930524
6,lc108.txt,40,642.1795655345965
7,lr112.txt,10,1079.5588370993655
8,lr112.txt,15,1031.0407496588775
9,lr112.txt,20,1057.3586451283084
10,lr112.txt,25,1065.6970812978134
11,lr112.txt,30,1031.2273892493245
12,lr112.txt,35,1030.360003404737
13,lr112.txt,40,1016.4294866516776
14,lrc206.txt,10,1619.1068157902725
15,lrc206.txt,15,1561.7741792258296
16,lrc206.txt,20,1568.1046149484907
17,lrc206.txt,25,1385.2021701893102
18,lrc206.txt,30,1406.1201818776383
19,lrc206.txt,35,1462.771111709508
20,lrc206.txt,40,1324.276602283033
21,lr205.txt,10,1351.57582114022
22,lr205.txt,15,1293.2075906410553
23,lr205.txt,20,1410.5981678069863
24,lr205.txt,25,1252.4131785468344
25,lr205.txt,30,1221.7380478413766
26,lr205.txt,35,1222.5726535081055
27,lr205.txt,40,1208.787256471073
28,r102C18.txt,10,249.01763103719503
29,r102C18.txt,15,249.01763103719503
30,r102C18.txt,20,249.0176310371951
31,r102C18.txt,25,249.01763103719503
32,r102C18.txt,30,249.01763103719506
33,r102C18.txt,35,249.01763103719506
34,r102C18.txt,40,249.0176310371951
35,lrc104.txt,10,1147.371638162681
36,lrc104.txt,15,1185.477572580519
37,lrc104.txt,20,1166.5762807018957
38,lrc104.txt,25,1187.7763353469654
39,lrc104.txt,30,1200.5042226086016
40,lrc104.txt,35,1210.9186938635573
41,lrc104.txt,40,1176.4650268160135
42,rc204C16.txt,10,298.4780556745738
43,rc204C16.txt,15,348.6046524899242
44,rc204C16.txt,20,317.0326094452163
45,rc204C16.txt,25,317.0326094452163
46,rc204C16.txt,30,348.6046524899242
47,rc204C16.txt,35,298.4780556745738
48,rc204C16.txt,40,298.4780556745738
49,lc207.txt,10,851.629357384506
50,lc207.txt,15,686.8995922615698
51,lc207.txt,20,702.4356784926255
52,lc207.txt,25,656.5259320087222
53,lc207.txt,30,654.9854881674619
54,lc207.txt,35,645.6971473385379
55,lc207.txt,40,657.813369997842
56,c202C16.txt,10,431.01239283355164
57,c202C16.txt,15,424.8951852518725
58,c202C16.txt,20,431.01239283355164
59,c202C16.txt,25,424.8951852518725
60,c202C16.txt,30,424.8951852518725
61,c202C16.txt,35,417.7328530448268
62,c202C16.txt,40,431.01239283355164
63,lc102.txt,10,738.4260471952741
64,lc102.txt,15,687.8487245169302
65,lc102.txt,20,685.7208606849587
66,lc102.txt,25,659.2290056894052
67,lc102.txt,30,655.6270784060866
68,lc102.txt,35,714.9057885965261
69,lc102.txt,40,640.8746515601217
