,instance,temp,average best distance
0,c202C16.txt,0.1,417.7328530448268
1,c202C16.txt,0.3,417.7328530448268
2,c202C16.txt,0.5,417.7328530448268
3,c202C16.txt,0.6,417.7328530448268
4,c202C16.txt,0.7,417.7328530448268
5,c202C16.txt,0.8,417.7328530448268
6,c202C16.txt,0.9,417.7328530448268
7,lc102.txt,0.1,613.6703687764203
8,lc102.txt,0.3,613.6703687764203
9,lc102.txt,0.5,613.6703687764203
10,lc102.txt,0.6,613.6703687764203
11,lc102.txt,0.7,613.6703687764203
12,lc102.txt,0.8,613.6703687764203
13,lc102.txt,0.9,613.6703687764203
14,lc108.txt,0.1,633.8957113210091
15,lc108.txt,0.3,633.8957113210091
16,lc108.txt,0.5,633.8957113210091
17,lc108.txt,0.6,652.4812424024412
18,lc108.txt,0.7,633.8957113210091
19,lc108.txt,0.8,652.4812424024412
20,lc108.txt,0.9,652.4812424024412
21,lc207.txt,0.1,674.3992147505265
22,lc207.txt,0.3,659.2091709890509
23,lc207.txt,0.5,674.3992147505265
24,lc207.txt,0.6,659.2091709890509
25,lc207.txt,0.7,659.2091709890509
26,lc207.txt,0.8,659.2091709890509
27,lc207.txt,0.9,659.2091709890509
28,lr112.txt,0.1,1055.5571987308836
29,lr112.txt,0.3,1059.7542408328966
30,lr112.txt,0.5,1055.5571987308836
31,lr112.txt,0.6,1059.7542408328966
32,lr112.txt,0.7,1059.7542408328966
33,lr112.txt,0.8,1059.7542408328966
34,lr112.txt,0.9,1059.7542408328966
35,lr205.txt,0.1,1178.6141159637596
36,lr205.txt,0.3,1224.168336110011
37,lr205.txt,0.5,1178.6141159637596
38,lr205.txt,0.6,1178.6141159637596
39,lr205.txt,0.7,1178.6141159637596
40,lr205.txt,0.8,1178.6141159637596
41,lr205.txt,0.9,1178.6141159637596
42,lrc104.txt,0.1,1172.4875504500028
43,lrc104.txt,0.3,1172.4875504500028
44,lrc104.txt,0.5,1172.4875504500028
45,lrc104.txt,0.6,1172.4875504500028
46,lrc104.txt,0.7,1172.4875504500028
47,lrc104.txt,0.8,1172.4875504500028
48,lrc104.txt,0.9,1172.4875504500028
49,lrc206.txt,0.1,1331.1400126823592
50,lrc206.txt,0.3,1311.7530547480985
51,lrc206.txt,0.5,1311.7530547480985
52,lrc206.txt,0.6,1311.7530547480985
53,lrc206.txt,0.7,1311.7530547480985
54,lrc206.txt,0.8,1311.7530547480985
55,lrc206.txt,0.9,1311.7530547480985
56,r102C18.txt,0.1,249.01763103719503
57,r102C18.txt,0.3,249.01763103719503
58,r102C18.txt,0.5,249.01763103719503
59,r102C18.txt,0.6,249.01763103719503
60,r102C18.txt,0.7,249.01763103719503
61,r102C18.txt,0.8,249.01763103719503
62,r102C18.txt,0.9,249.01763103719503
63,rc204C16.txt,0.1,298.4780556745738
64,rc204C16.txt,0.3,298.4780556745738
65,rc204C16.txt,0.5,298.4780556745738
66,rc204C16.txt,0.6,298.4780556745738
67,rc204C16.txt,0.7,298.4780556745738
68,rc204C16.txt,0.8,298.4780556745738
69,rc204C16.txt,0.9,298.4780556745738
