Itterations,Cost
0,2660.2840781169484
1,1858.9702976868912
2,1858.9702976868912
3,1408.5212544933415
4,1224.4895439223515
5,852.3928880837907
6,2861.9906761699285
7,1087.9394650129138
8,883.4106646291355
9,852.3928880837907
10,1677.7188279582745
11,1100.9857276387497
12,996.7898384478234
13,726.332077121739
14,1443.03228109072
15,888.6879072173479
16,1348.7463553407304
17,736.9405809439905
18,1947.025761269642
19,667.8599925613556
20,952.2746230331674
21,686.5993344195574
22,685.2637041270212
23,904.7132982320502
24,1230.3735705549832
25,685.5465885013094
26,742.8657756460137
27,678.2853886362496
28,1506.3002046447532
29,655.0532873887105
30,1451.1194499628525
31,821.2562567184706
32,718.6391363627945
33,656.1084985735549
34,2576.7939856636376
35,683.5829552521415
36,672.8269076084767
37,698.9968296659622
38,916.3948098196568
39,649.2476259033889
40,670.9993206313582
41,706.7914009777782
42,645.7082856376121
43,741.6326004380362
44,2394.789629993026
45,706.8809567120101
46,2266.1144928074755
47,707.5932516174778
48,797.5722381891887
49,2625.01890104173
50,1176.4357965838558
51,1206.377251715525
52,1195.0379359363483
53,1140.9799123846378
54,966.1947993388833
55,675.87458875611
56,1130.885440504769
57,711.4164986041665
58,975.9678791176931
59,1017.8902949737382
60,647.8810752099928
61,994.8999234132119
62,1228.2019711566827
63,973.7395534978516
64,1193.0497996207655
65,896.2720594113231
66,1705.2352922348991
67,2673.4198687534717
68,1203.9184522433823
69,805.0282032204803
70,943.5263064131336
71,956.0661381876746
72,851.5638237622875
73,1307.2695180747114
74,680.5648858443367
75,823.9110417213477
76,663.3948815775659
77,645.7082856376121
78,2227.7683346653303
79,689.4364984530685
80,1026.6072637790664
81,645.7082856376121
82,691.0102305159114
83,919.2826804738
84,2184.6379732236464
85,766.8548119385132
86,2316.976169676148
87,674.4938010404729
88,829.3328181437669
89,1562.439631610968
90,663.3948815775658
91,897.5914829969824
92,697.4625087357053
93,1908.603835178107
94,973.2890504110742
95,647.6832572937963
96,645.7082856376121
97,2570.141502037707
98,1608.8790380013013
99,692.0473934720968
