Itterations,Cost
0,3192.064938710496
1,3192.064938710496
2,3192.064938710496
3,3192.064938710496
4,3039.5680306610757
5,1680.758278481365
6,1680.758278481365
7,1680.758278481365
8,1680.758278481365
9,1680.758278481365
10,1571.3056673409644
11,1571.3056673409644
12,1571.3056673409644
13,1571.3056673409644
14,1571.3056673409644
15,1563.5258284387012
16,1563.5258284387012
17,1563.5258284387012
18,1563.5258284387012
19,1563.5258284387012
20,1563.5258284387012
21,1563.5258284387012
22,1563.5258284387012
23,1563.5258284387012
24,1563.5258284387012
25,1551.6157071999748
26,1551.6157071999748
27,1495.4908314190268
28,1495.4908314190268
29,1453.4390037574326
30,1376.6767088093993
31,1362.1380455851795
32,1362.1380455851795
33,1362.1380455851795
34,1360.7795065888793
35,1360.7795065888793
36,1360.7795065888793
37,1360.7795065888793
38,1360.7795065888793
39,1360.7795065888793
40,1360.7795065888793
41,1360.7795065888793
42,1344.5226052487722
43,1342.8345191758835
44,1342.8345191758835
45,1342.8345191758835
46,1342.8345191758835
47,1342.8345191758835
48,1342.8345191758835
49,1342.8345191758835
50,1342.8345191758835
51,1342.8345191758835
52,1342.8345191758835
53,1339.8165597455852
54,1339.8165597455852
55,1339.8165597455852
56,1339.8165597455852
57,1339.8165597455852
58,1339.8165597455852
59,1323.833002672673
60,1323.833002672673
61,1323.833002672673
62,1323.833002672673
63,1323.833002672673
64,1323.833002672673
65,1323.833002672673
66,1323.833002672673
67,1323.833002672673
68,1323.833002672673
69,1323.833002672673
70,1323.8330026726728
71,1323.8330026726728
72,1323.8330026726728
73,1323.8330026726728
74,1323.8330026726728
75,1323.8330026726728
76,1323.8330026726728
77,1323.8330026726728
78,1323.8330026726728
79,1323.8330026726728
80,1323.3998207939394
81,1323.3998207939394
82,1309.7068151321585
83,1309.7068151321585
84,1309.7068151321585
85,1309.7068151321585
86,1309.7068151321585
87,1309.7068151321585
88,1309.7068151321585
89,1309.7068151321585
90,1309.7068151321585
91,1309.7068151321585
92,1309.7068151321585
93,1309.7068151321585
94,1309.7068151321585
95,1309.7068151321585
96,1309.7068151321585
97,1309.7068151321585
98,1309.7068151321585
99,1309.7068151321585
