Itterations,Cost
0,1992.8882549222426
1,1246.641008634621
2,1108.0196009730068
3,1148.6041388840792
4,1131.0274677172624
5,1084.2209321501355
6,1094.133996443106
7,1989.8938700186727
8,1151.0548622826532
9,1302.735895531666
10,1066.017933106236
11,1490.3671037233048
12,1124.1960840666095
13,1128.7462575143347
14,1090.6032452520628
15,1082.167267787132
16,1814.5235097189047
17,1066.017933106236
18,1084.4086351795975
19,1140.2247940510936
20,1508.5222861971472
21,1075.9647529812107
22,1093.3841488430794
23,1145.726956192194
24,1085.7086347320533
25,1117.5887340956592
26,1693.6123515893867
27,1135.7050331398232
28,1075.9590983691667
29,1080.88351484634
30,1635.9837299814267
31,1085.5388641941227
32,1091.5214813056089
33,1846.5867969802744
34,1105.0013058394413
35,1211.4681067925032
36,1144.9102253105957
37,1146.1632554732807
38,1075.9524270326956
39,1543.9325206020183
40,1236.5843026424666
41,1085.9533801405234
42,1872.4594785414429
43,1618.4940007953312
44,1736.8222887371542
45,1108.3862274753328
46,1089.2882418143163
47,1340.3381846392413
48,1066.0179331062357
49,1128.1127205260177
50,1229.8350102591196
51,1105.5356525944553
52,1087.3739169309674
53,1886.5843144041569
54,1138.01696287622
55,1712.2617080713353
56,1067.0633960282826
57,1309.0574497594182
58,1191.2972937992042
59,1771.758989560708
60,1086.3276340474467
61,1096.9554536667915
62,1672.2424592017762
63,1163.5013168434184
64,1157.380224397186
65,1403.9541761891142
66,1080.1354812846473
67,1707.387129756041
68,1091.2250261869913
69,1084.3039682726396
70,1057.8644611476054
71,1080.1319161129677
72,1136.0946113962443
73,1465.851107654872
74,1055.9138618140703
75,1087.7352194720922
76,1631.8289955411617
77,1106.9043110112664
78,1066.8624668104073
79,1106.5140148092942
80,1079.1053238994427
81,1073.172760077431
82,1056.7891847057742
83,1101.0792347534732
84,1572.7468795241464
85,1274.8916871261074
86,1141.7865321173597
87,1074.2585760762147
88,1783.5690545222633
89,1168.071788515317
90,1600.9553988075277
91,1387.1923103858405
92,1211.0039224905236
93,1821.4523198545044
94,1235.3941241860057
95,1110.603561424904
96,1918.3213759902471
97,1070.5137016232898
98,1126.9219014062103
99,1146.839665303551
