Itterations,Cost
0,2637.2074980212233
1,1858.9702976868912
2,1858.9702976868912
3,1408.5212544933415
4,1224.4895439223515
5,852.3928880837907
6,852.3928880837907
7,852.3928880837907
8,852.3928880837907
9,852.3928880837907
10,852.3928880837907
11,852.3928880837907
12,852.3928880837907
13,726.332077121739
14,726.332077121739
15,726.332077121739
16,726.332077121739
17,726.332077121739
18,726.332077121739
19,667.8599925613556
20,667.8599925613556
21,667.8599925613556
22,667.8599925613556
23,667.8599925613556
24,667.8599925613556
25,667.8599925613556
26,667.8599925613556
27,667.8599925613556
28,667.8599925613556
29,655.0532873887105
30,655.0532873887105
31,655.0532873887105
32,655.0532873887105
33,655.0532873887105
34,655.0532873887105
35,655.0532873887105
36,655.0532873887105
37,655.0532873887105
38,655.0532873887105
39,649.2476259033889
40,649.2476259033889
41,649.2476259033889
42,645.7082856376121
43,645.7082856376121
44,645.7082856376121
45,645.7082856376121
46,645.7082856376121
47,645.7082856376121
48,645.7082856376121
49,645.7082856376121
50,645.7082856376121
51,645.7082856376121
52,645.7082856376121
53,645.7082856376121
54,645.7082856376121
55,645.7082856376121
56,645.7082856376121
57,645.7082856376121
58,645.7082856376121
59,645.7082856376121
60,645.7082856376121
61,645.7082856376121
62,645.7082856376121
63,645.7082856376121
64,645.7082856376121
65,645.7082856376121
66,645.7082856376121
67,645.7082856376121
68,645.7082856376121
69,645.7082856376121
70,645.7082856376121
71,645.7082856376121
72,645.7082856376121
73,645.7082856376121
74,645.7082856376121
75,645.7082856376121
76,645.7082856376121
77,645.7082856376121
78,645.7082856376121
79,645.7082856376121
80,645.7082856376121
81,645.7082856376121
82,645.7082856376121
83,645.7082856376121
84,645.7082856376121
85,645.7082856376121
86,645.7082856376121
87,645.7082856376121
88,645.7082856376121
89,645.7082856376121
90,645.7082856376121
91,645.7082856376121
92,645.7082856376121
93,645.7082856376121
94,645.7082856376121
95,645.7082856376121
96,645.7082856376121
97,645.7082856376121
98,645.7082856376121
99,645.7082856376121
