Itterations,Cost
0,2626.6294647859922
1,2671.1531761606757
2,2259.493375753981
3,1220.4772090529282
4,930.6271077527198
5,2112.7220177503445
6,2443.5041920522035
7,924.0052259892251
8,833.3602366425534
9,833.3602366425534
10,2246.60584719088
11,822.9981490332341
12,2459.710163098187
13,813.6441816816746
14,890.7314342002542
15,807.6101892515362
16,2862.940559798569
17,1171.985567492071
18,807.6101892515362
19,2355.9167551415676
20,810.9347154475699
21,733.6949922786765
22,1943.9951808486612
23,2377.9551954699186
24,717.6262695429255
25,2795.6115136072467
26,772.3017930183687
27,707.5019166620004
28,823.7215564659459
29,730.3279575627232
30,715.479656451334
31,2094.3911598707887
32,707.5019166620004
33,748.6789120011957
34,705.4462533917853
35,731.2694504761813
36,687.1588874735944
37,678.2708601908034
38,683.0827217838486
39,1149.6691546891022
40,844.0837308428437
41,678.2708601908034
42,660.8056031451886
43,669.2908578171417
44,678.3968770352843
45,677.2029676912888
46,670.1485739323966
47,820.9900065187833
48,2233.6850858638013
49,1806.6970686470818
50,660.7034328336624
51,681.050727000212
52,2294.320044007291
53,682.0758301072456
54,1865.3413400528048
55,1365.200294235387
56,660.7034328336624
57,691.1979715016005
58,676.3187946189595
59,760.7627425598805
60,666.1126424671405
61,656.8085418678666
62,2202.6273307698207
63,1117.6615663945886
64,656.8085418678667
65,2579.0902727452335
66,656.8085418678667
67,723.3616444920411
68,704.8076042468888
69,740.1788640600778
70,673.3533372488857
71,656.9080457156444
72,1015.7069432609819
73,1498.8472882561068
74,917.1907279999804
75,1243.0188574733677
76,799.3412662550809
77,1469.40033648768
78,676.88653659458
79,656.8085418678667
80,722.8394760199773
81,1611.6929391398098
82,786.2968605726794
83,662.3949628334011
84,725.4654896545403
85,2271.126420263363
86,835.880156239302
87,693.7598722729845
88,687.6485177742258
89,673.62366176399
90,656.8085418678667
91,902.0568891403118
92,690.0478905562428
93,891.188677355268
94,655.146638078176
95,790.0925330519356
96,691.8111937932503
97,824.5872285849069
98,697.3822009923609
99,655.1466380781761
