Itterations,Cost
0,498.67615386052233
1,603.7386337085883
2,480.8696219991288
3,480.8696219991288
4,431.01239283355164
5,431.01239283355164
6,480.8696219991288
7,488.8668001518692
8,559.565192267197
9,431.01239283355164
10,654.8783958231579
11,516.1633361156014
12,480.8696219991288
13,524.7558883927155
14,480.8696219991288
15,440.91050831968823
16,431.01239283355164
17,529.7028722589907
18,431.01239283355164
19,480.8696219991288
20,431.01239283355164
21,480.8696219991288
22,442.6597509936862
23,500.0120823895355
24,480.8696219991288
25,431.01239283355164
26,431.01239283355164
27,431.01239283355164
28,431.01239283355164
29,431.01239283355164
30,480.8696219991288
31,541.4162423138101
32,431.01239283355164
33,431.01239283355164
34,431.01239283355164
35,615.5418873609233
36,480.8696219991288
37,480.8696219991288
38,480.8696219991288
39,544.4690775786785
40,545.2669607274647
41,431.01239283355164
42,431.01239283355164
43,480.8696219991288
44,480.8696219991288
45,431.01239283355164
46,474.80139944781695
47,431.01239283355164
48,480.8696219991288
49,431.01239283355164
50,502.8599579094923
51,534.6818337008941
52,431.01239283355164
53,431.01239283355164
54,480.8696219991288
55,431.01239283355164
56,442.6597509936862
57,431.01239283355164
58,431.01239283355164
59,431.01239283355164
60,480.8696219991288
61,480.8696219991288
62,431.01239283355164
63,431.01239283355164
64,431.01239283355164
65,431.01239283355164
66,431.01239283355164
67,443.93828559877335
68,431.01239283355164
69,480.8696219991288
70,431.01239283355164
71,431.01239283355164
72,431.01239283355164
73,431.01239283355164
74,431.01239283355164
75,480.8696219991288
76,507.8250270100338
77,431.01239283355164
78,431.01239283355164
79,431.01239283355164
80,511.20706365180206
81,431.01239283355164
82,480.8696219991288
83,431.01239283355164
84,431.01239283355164
85,480.8696219991288
86,480.8696219991288
87,431.01239283355164
88,431.01239283355164
89,431.01239283355164
90,472.36206096157343
91,443.2674387762347
92,497.85695861043325
93,605.967465769819
94,431.01239283355164
95,431.01239283355164
96,431.01239283355164
97,431.01239283355164
98,431.01239283355164
99,431.01239283355164
