Itterations,Cost
0,2496.5067708682514
1,2496.5067708682514
2,2259.493375753981
3,1220.4772090529282
4,930.6271077527198
5,930.6271077527198
6,930.6271077527198
7,924.0052259892251
8,833.3602366425534
9,833.3602366425534
10,833.3602366425534
11,822.9981490332341
12,822.9981490332341
13,813.6441816816746
14,813.6441816816746
15,807.6101892515362
16,807.6101892515362
17,807.6101892515362
18,807.6101892515362
19,807.6101892515362
20,807.6101892515362
21,733.6949922786765
22,733.6949922786765
23,733.6949922786765
24,717.6262695429255
25,717.6262695429255
26,717.6262695429255
27,707.5019166620004
28,707.5019166620004
29,707.5019166620004
30,707.5019166620004
31,707.5019166620004
32,707.5019166620004
33,707.5019166620004
34,705.4462533917853
35,705.4462533917853
36,687.1588874735944
37,678.2708601908034
38,678.2708601908034
39,678.2708601908034
40,678.2708601908034
41,678.2708601908034
42,660.8056031451886
43,660.8056031451886
44,660.8056031451886
45,660.8056031451886
46,660.8056031451886
47,660.8056031451886
48,660.8056031451886
49,660.8056031451886
50,660.7034328336624
51,660.7034328336624
52,660.7034328336624
53,660.7034328336624
54,660.7034328336624
55,660.7034328336624
56,660.7034328336624
57,660.7034328336624
58,660.7034328336624
59,660.7034328336624
60,660.7034328336624
61,656.8085418678666
62,656.8085418678666
63,656.8085418678666
64,656.8085418678666
65,656.8085418678666
66,656.8085418678666
67,656.8085418678666
68,656.8085418678666
69,656.8085418678666
70,656.8085418678666
71,656.8085418678666
72,656.8085418678666
73,656.8085418678666
74,656.8085418678666
75,656.8085418678666
76,656.8085418678666
77,656.8085418678666
78,656.8085418678666
79,656.8085418678666
80,656.8085418678666
81,656.8085418678666
82,656.8085418678666
83,656.8085418678666
84,656.8085418678666
85,656.8085418678666
86,656.8085418678666
87,656.8085418678666
88,656.8085418678666
89,656.8085418678666
90,656.8085418678666
91,656.8085418678666
92,656.8085418678666
93,656.8085418678666
94,655.146638078176
95,655.146638078176
96,655.146638078176
97,655.146638078176
98,655.146638078176
99,655.146638078176
