Itterations,Cost
0,298.4780556745738
1,298.4780556745738
2,298.4780556745738
3,298.4780556745738
4,298.4780556745738
5,298.4780556745738
6,298.4780556745738
7,298.4780556745738
8,298.4780556745738
9,298.4780556745738
10,298.4780556745738
11,298.4780556745738
12,298.4780556745738
13,298.4780556745738
14,298.4780556745738
15,298.4780556745738
16,298.4780556745738
17,298.4780556745738
18,298.4780556745738
19,298.4780556745738
20,298.4780556745738
21,298.4780556745738
22,298.4780556745738
23,298.4780556745738
24,298.4780556745738
25,298.4780556745738
26,298.4780556745738
27,298.4780556745738
28,298.4780556745738
29,298.4780556745738
30,298.4780556745738
31,298.4780556745738
32,298.4780556745738
33,298.4780556745738
34,298.4780556745738
35,298.4780556745738
36,298.4780556745738
37,298.4780556745738
38,298.4780556745738
39,298.4780556745738
40,298.4780556745738
41,298.4780556745738
42,298.4780556745738
43,298.4780556745738
44,298.4780556745738
45,298.4780556745738
46,298.4780556745738
47,298.4780556745738
48,298.4780556745738
49,298.4780556745738
50,298.4780556745738
51,298.4780556745738
52,298.4780556745738
53,298.4780556745738
54,298.4780556745738
55,298.4780556745738
56,298.4780556745738
57,298.4780556745738
58,298.4780556745738
59,298.4780556745738
60,298.4780556745738
61,298.4780556745738
62,298.4780556745738
63,298.4780556745738
64,298.4780556745738
65,298.4780556745738
66,298.4780556745738
67,298.4780556745738
68,298.4780556745738
69,298.4780556745738
70,298.4780556745738
71,298.4780556745738
72,298.4780556745738
73,298.4780556745738
74,298.4780556745738
75,298.4780556745738
76,298.4780556745738
77,298.4780556745738
78,298.4780556745738
79,298.4780556745738
80,298.4780556745738
81,298.4780556745738
82,298.4780556745738
83,298.4780556745738
84,298.4780556745738
85,298.4780556745738
86,298.4780556745738
87,298.4780556745738
88,298.4780556745738
89,298.4780556745738
90,298.4780556745738
91,298.4780556745738
92,298.4780556745738
93,298.4780556745738
94,298.4780556745738
95,298.4780556745738
96,298.4780556745738
97,298.4780556745738
98,298.4780556745738
99,298.4780556745738
