Itterations,Cost
0,298.4780556745738
1,298.4780556745738
2,378.94256981653507
3,378.94256981653507
4,378.94256981653507
5,378.94256981653507
6,378.94256981653507
7,298.4780556745738
8,378.94256981653507
9,319.6252704831726
10,298.4780556745738
11,298.4780556745738
12,378.94256981653507
13,309.8824668860309
14,298.4780556745738
15,378.94256981653507
16,299.98804672849997
17,378.94256981653507
18,378.94256981653507
19,378.94256981653507
20,378.94256981653507
21,378.94256981653507
22,378.94256981653507
23,378.94256981653507
24,373.4739217620305
25,321.8363876719588
26,319.6252704831726
27,378.94256981653507
28,378.94256981653507
29,378.94256981653507
30,298.4780556745738
31,408.45729174981017
32,378.94256981653507
33,378.94256981653507
34,378.94256981653507
35,378.94256981653507
36,354.91082189206844
37,378.94256981653507
38,378.94256981653507
39,403.3141572869339
40,319.76535198730073
41,378.94256981653507
42,378.94256981653507
43,378.94256981653507
44,378.94256981653507
45,309.7423853819028
46,375.24573414220544
47,378.94256981653507
48,310.30448319750866
49,310.30448319750866
50,378.94256981653507
51,378.94256981653507
52,321.8363876719588
53,394.3507323305426
54,298.4780556745738
55,298.4780556745738
56,298.4780556745738
57,393.7975392439537
58,312.2266670468578
59,378.94256981653507
60,389.135642405166
61,319.76535198730073
62,319.6252704831726
63,378.94256981653507
64,378.94256981653507
65,378.94256981653507
66,378.94256981653507
67,378.94256981653507
68,319.76535198730073
69,378.94256981653507
70,378.94256981653507
71,415.03370184212497
72,378.94256981653507
73,378.94256981653507
74,378.94256981653507
75,378.94256981653507
76,378.94256981653507
77,378.94256981653507
78,298.4780556745738
79,378.94256981653507
80,309.7423853819028
81,378.94256981653507
82,378.94256981653507
83,378.94256981653507
84,378.94256981653507
85,378.94256981653507
86,365.39658067427996
87,298.4780556745738
88,319.76535198730073
89,378.94256981653507
90,378.94256981653507
91,378.94256981653507
92,378.94256981653507
93,378.94256981653507
94,309.7423853819028
95,378.94256981653507
96,378.94256981653507
97,378.94256981653507
98,298.6181371787019
99,298.4780556745738
