Itterations,Cost
0,1867.8561451835371
1,1355.8376103047963
2,1343.914047828903
3,1632.5847480604552
4,1312.2453994275752
5,1296.6760391396667
6,1200.2194635174135
7,1237.6457642241853
8,1236.762969953908
9,1218.7098411220663
10,1205.3419434860286
11,1709.414601340442
12,1200.2194635174135
13,1320.0904509682803
14,1235.5567525030062
15,1894.4634165143855
16,1775.0163831475172
17,2126.347974622468
18,1967.6944407894453
19,1204.3643864235369
20,1223.0495397555462
21,1230.832924323414
22,2147.963753362418
23,1201.828537571398
24,1224.583604669206
25,1226.0891864273049
26,1224.485130808639
27,1548.6401072899828
28,1215.7647293710843
29,1208.0155279623652
30,1983.940876476829
31,1222.0106004666995
32,1669.0572812054065
33,1212.8429159127732
34,1291.8524552767992
35,2018.6647256405226
36,1207.718289463061
37,2014.4053384304161
38,1238.76231396281
39,1287.2207925284486
40,1202.2214085035307
41,1782.2632675900402
42,1239.8305575742856
43,1286.6143437590667
44,1188.9350490804916
45,1234.435444015079
46,1199.5168095638257
47,1988.9889608891795
48,1362.5783598330986
49,1230.147039513065
50,1582.1345586230877
51,1282.4614350766667
52,1183.058154706109
53,1744.4125874814729
54,1183.0581547061095
55,1234.0590688878738
56,1183.058154706109
57,1979.1313506350605
58,1168.293409612151
59,1291.675115816739
60,1168.2934096121512
61,1200.122687948671
62,1908.1620076935085
63,1220.3098544256995
64,1208.2678989924757
65,1221.225155019167
66,1170.685870239872
67,1235.8169879014335
68,1933.2191897053947
69,1178.9115822912045
70,1330.858760117156
71,1386.627562077693
72,1936.6582922851424
73,1332.4559960905872
74,1412.92253082858
75,1253.7804439458723
76,1333.917503436844
77,1175.014086022699
78,1165.8990730468013
79,1979.6663531235108
80,1193.2847085898343
81,1165.8990730468015
82,1206.6791077037035
83,1739.4972721202935
84,1985.1709240758778
85,1219.4494276038645
86,2169.760443151729
87,1211.1482020887358
88,1219.3343902220074
89,1191.2049791816723
90,1243.7977897469007
91,1211.2358384432569
92,1188.7347483754982
93,1165.8990730468013
94,1168.8969992744749
95,1206.380965739376
96,1233.351815834044
97,1864.6413148275215
98,1161.6633329242343
99,1195.4362274632065
