Itterations,Cost
0,264.1270768648759
1,264.1270768648759
2,264.1270768648759
3,264.1270768648759
4,264.1270768648759
5,264.1270768648759
6,264.1270768648759
7,264.1270768648759
8,260.64187634740495
9,249.0176310371951
10,249.0176310371951
11,249.0176310371951
12,249.0176310371951
13,249.0176310371951
14,249.0176310371951
15,249.0176310371951
16,249.0176310371951
17,249.0176310371951
18,249.0176310371951
19,249.0176310371951
20,249.0176310371951
21,249.0176310371951
22,249.0176310371951
23,249.0176310371951
24,249.0176310371951
25,249.0176310371951
26,249.0176310371951
27,249.0176310371951
28,249.0176310371951
29,249.0176310371951
30,249.0176310371951
31,249.0176310371951
32,249.0176310371951
33,249.0176310371951
34,249.0176310371951
35,249.0176310371951
36,249.0176310371951
37,249.0176310371951
38,249.01763103719503
39,249.01763103719503
40,249.01763103719503
41,249.01763103719503
42,249.01763103719503
43,249.01763103719503
44,249.01763103719503
45,249.01763103719503
46,249.01763103719503
47,249.01763103719503
48,249.01763103719503
49,249.01763103719503
50,249.01763103719503
51,249.01763103719503
52,249.01763103719503
53,249.01763103719503
54,249.01763103719503
55,249.01763103719503
56,249.01763103719503
57,249.01763103719503
58,249.01763103719503
59,249.01763103719503
60,249.01763103719503
61,249.01763103719503
62,249.01763103719503
63,249.01763103719503
64,249.01763103719503
65,249.01763103719503
66,249.01763103719503
67,249.01763103719503
68,249.01763103719503
69,249.01763103719503
70,249.01763103719503
71,249.01763103719503
72,249.01763103719503
73,249.01763103719503
74,249.01763103719503
75,249.01763103719503
76,249.01763103719503
77,249.01763103719503
78,249.01763103719503
79,249.01763103719503
80,249.01763103719503
81,249.01763103719503
82,249.01763103719503
83,249.01763103719503
84,249.01763103719503
85,249.01763103719503
86,249.01763103719503
87,249.01763103719503
88,249.01763103719503
89,249.01763103719503
90,249.01763103719503
91,249.01763103719503
92,249.01763103719503
93,249.01763103719503
94,249.01763103719503
95,249.01763103719503
96,249.01763103719503
97,249.01763103719503
98,249.01763103719503
99,249.01763103719503
