Iter,Cost
0,1872.5295440086845
1,1385.765938935241
2,1385.765938935241
3,1385.765938935241
4,1385.765938935241
5,1385.765938935241
6,1358.6429356407298
7,1229.2474391365463
8,1229.2474391365463
9,1229.2474391365463
10,1229.2474391365463
11,1229.2474391365463
12,1171.447875422617
13,1171.447875422617
14,1171.447875422617
15,1171.447875422617
16,1171.447875422617
17,1171.447875422617
18,1171.447875422617
19,1171.447875422617
20,1171.447875422617
21,1171.447875422617
22,1171.447875422617
23,1171.447875422617
24,1171.447875422617
25,1130.2882603045864
26,1130.2882603045864
27,1130.2882603045864
28,1130.2882603045864
29,1130.2882603045864
30,1130.2882603045864
31,1130.2882603045864
32,1130.2882603045864
33,1130.2882603045864
34,1130.2882603045864
35,1130.2882603045864
36,1097.3750171916931
37,1097.3750171916931
38,1097.3750171916931
39,1097.3750171916931
40,1097.3750171916931
41,1097.3750171916931
42,1097.3750171916931
43,1097.3750171916931
44,1097.3750171916931
45,1097.3750171916931
46,1097.3750171916931
47,1097.3750171916931
48,1097.3750171916931
49,1097.3750171916931
