Iter,Iter Cost,Cost Best
0,3162.413122456614,3162.413122456614
1,3064.424862480203,3064.424862480203
2,2974.240326174915,2974.240326174915
3,2846.690961210809,2846.690961210809
4,3231.015716811781,2846.690961210809
5,1830.5681158701173,1830.5681158701173
6,1884.5654122892402,1830.5681158701173
7,1862.03727971606,1830.5681158701173
8,1698.8716319640494,1698.8716319640494
9,2255.0528462208376,1698.8716319640494
10,1763.0193336633529,1698.8716319640494
11,1687.1383711640672,1687.1383711640672
12,2936.7649938722143,1687.1383711640672
13,1686.573589035096,1686.573589035096
14,1651.0185271133814,1651.0185271133814
15,3226.264971023822,1651.0185271133814
16,2052.1329926616827,1651.0185271133814
17,1790.4773929169094,1651.0185271133814
18,2932.518032512123,1651.0185271133814
19,1755.0310200622712,1651.0185271133814
20,2233.8362954048757,1651.0185271133814
21,1582.5187658121695,1582.5187658121695
22,1477.1315796077397,1477.1315796077397
23,1514.488398920578,1477.1315796077397
24,1603.018341911742,1477.1315796077397
25,1475.4405599417196,1475.4405599417196
26,1451.1847677625888,1451.1847677625888
27,1515.298835372738,1451.1847677625888
28,1451.1847677625888,1451.1847677625888
29,1451.1847677625888,1451.1847677625888
30,1572.4325282982102,1451.1847677625888
31,1551.649080276175,1451.1847677625888
32,1457.1064732083103,1451.1847677625888
33,1660.7714038102638,1451.1847677625888
34,2028.9109090389097,1451.1847677625888
35,1791.0383925179058,1451.1847677625888
36,1475.8638639763615,1451.1847677625888
37,1672.2793096017667,1451.1847677625888
38,1535.8503687305376,1451.1847677625888
39,1926.8322056742686,1451.1847677625888
40,1476.1292094271353,1451.1847677625888
41,1511.4856591408404,1451.1847677625888
42,1418.94073519356,1418.94073519356
43,1463.198942137189,1418.94073519356
44,1471.7069423082603,1418.94073519356
45,1490.4837073852193,1418.94073519356
46,1845.8992537720464,1418.94073519356
47,1628.382571500853,1418.94073519356
48,1475.4599400517684,1418.94073519356
49,1418.9407351935602,1418.94073519356
50,2456.7575144335606,1418.94073519356
51,1397.0069922741209,1397.0069922741209
52,1575.9651131280336,1397.0069922741209
53,1407.7556693977158,1397.0069922741209
54,1485.0778693911525,1397.0069922741209
55,1424.9889087195456,1397.0069922741209
56,1396.0040544274775,1396.0040544274775
57,1722.4081117301844,1396.0040544274775
58,1414.6464292057249,1396.0040544274775
59,1354.6497195278698,1354.6497195278698
60,2582.6699401099663,1354.6497195278698
61,1971.1313122623762,1354.6497195278698
62,1429.538524983304,1354.6497195278698
63,2958.6891247341223,1354.6497195278698
64,1404.0442691918474,1354.6497195278698
65,1522.6923377349772,1354.6497195278698
66,2741.1107719508577,1354.6497195278698
67,2501.240223312974,1354.6497195278698
68,1377.4253113382842,1354.6497195278698
69,1354.6497195278698,1354.6497195278698
70,1397.5454781310655,1354.6497195278698
71,2011.3726985799804,1354.6497195278698
72,1462.9643878573763,1354.6497195278698
73,1831.3577449496502,1354.6497195278698
74,1354.944449765496,1354.6497195278698
75,1723.7964584505808,1354.6497195278698
76,1386.1766671526736,1354.6497195278698
77,1391.9411995062683,1354.6497195278698
78,1470.8246416859672,1354.6497195278698
79,1340.8405662846487,1340.8405662846487
80,1397.3293654911802,1340.8405662846487
81,1354.1160028228785,1340.8405662846487
82,1594.8849429848926,1340.8405662846487
83,2357.5350758366103,1340.8405662846487
84,1358.5975167754286,1340.8405662846487
85,1364.4465240294653,1340.8405662846487
86,1352.4177564138959,1340.8405662846487
87,2500.277152853261,1340.8405662846487
88,2365.0558466123857,1340.8405662846487
89,2176.5457893056264,1340.8405662846487
90,2729.7538350772425,1340.8405662846487
91,2848.4283068720915,1340.8405662846487
92,2158.797420882896,1340.8405662846487
93,1412.1732064961323,1340.8405662846487
94,1418.8359378480636,1340.8405662846487
95,1447.8266055849665,1340.8405662846487
96,1347.6526574395423,1340.8405662846487
97,2195.1789856776995,1340.8405662846487
98,1439.8160210328183,1340.8405662846487
99,1427.480353250162,1340.8405662846487
100,1668.5713544682394,1340.8405662846487
101,1458.3317295735756,1340.8405662846487
102,1341.1352965222748,1340.8405662846487
