Iter,Cost
0,3162.413122456614
1,3064.424862480203
2,2974.240326174915
3,2846.690961210809
4,3231.015716811781
5,1830.5681158701173
6,1884.5654122892402
7,1862.03727971606
8,1698.8716319640494
9,2255.0528462208376
10,1763.0193336633529
11,1687.1383711640672
12,2936.7649938722143
13,1686.573589035096
14,1651.0185271133814
15,3226.264971023822
16,2052.1329926616827
17,1790.4773929169094
18,2932.518032512123
19,1755.0310200622712
20,2233.8362954048757
21,1582.5187658121695
22,1477.1315796077397
23,1514.488398920578
24,1603.018341911742
25,1475.4405599417196
26,1451.1847677625888
27,1515.298835372738
28,1451.1847677625888
29,1451.1847677625888
30,1572.4325282982102
31,1551.649080276175
32,1457.1064732083103
33,1660.7714038102638
34,2028.9109090389097
35,1791.0383925179058
36,1475.8638639763615
37,1672.2793096017667
38,1535.8503687305376
39,1926.8322056742686
40,1476.1292094271353
41,1511.4856591408404
42,1418.94073519356
43,1463.198942137189
44,1471.7069423082603
45,1490.4837073852193
46,1845.8992537720464
47,1628.382571500853
48,1475.4599400517684
49,1418.9407351935602
50,2456.7575144335606
51,1397.0069922741209
52,1575.9651131280336
53,1407.7556693977158
54,1485.0778693911525
55,1424.9889087195456
56,1396.0040544274775
57,1722.4081117301844
58,1414.6464292057249
59,1354.6497195278698
60,2582.6699401099663
61,1971.1313122623762
62,1429.538524983304
63,2958.6891247341223
64,1404.0442691918474
65,1522.6923377349772
66,2741.1107719508577
67,2501.240223312974
68,1377.4253113382842
69,1354.6497195278698
70,1397.5454781310655
71,2011.3726985799804
72,1462.9643878573763
73,1831.3577449496502
74,1354.944449765496
75,1723.7964584505808
76,1386.1766671526736
77,1391.9411995062683
78,1470.8246416859672
79,1340.8405662846487
80,1397.3293654911802
81,1354.1160028228785
82,1594.8849429848926
83,2357.5350758366103
84,1358.5975167754286
85,1364.4465240294653
86,1352.4177564138959
87,2500.277152853261
88,2365.0558466123857
89,2176.5457893056264
90,2729.7538350772425
91,2848.4283068720915
92,2158.797420882896
93,1412.1732064961323
94,1418.8359378480636
95,1447.8266055849665
96,1347.6526574395423
97,2195.1789856776995
98,1439.8160210328183
99,1427.480353250162
100,1668.5713544682394
101,1458.3317295735756
102,1341.1352965222748
103,2064.2716356535216
104,1531.8428386690532
105,1416.2375861422745
106,1380.9474450242328
107,1687.2979185933038
108,2658.940951661864
109,1340.8405662846487
110,1596.0927262001978
111,1501.528877160123
112,1375.9732278789056
113,1364.4465240294653
114,3013.136420015326
115,2751.569714102569
116,1371.5925200800111
117,1461.37753553599
118,2667.99964648085
119,2103.0579943930625
120,1401.6680634082982
121,2069.102625901844
122,1371.2977898423849
123,2679.804906483575
124,1922.8220204582099
125,1340.8405662846485
126,2245.1657609491544
127,2436.793438057424
128,1518.9438168911445
129,3191.4716270403424
130,1400.6983142046522
131,1340.840566284649
132,1855.5926761039125
133,1376.701039237139
134,2295.023874429214
135,1668.5713544682394
136,1474.7429515443987
137,1696.9951004234242
138,1340.840566284649
139,1432.0291424569284
140,1340.8405662846485
141,1354.116002822879
142,2081.3598762349793
143,1418.8359378480636
144,1401.374048441539
145,1356.6224281110938
146,3057.629134682048
147,1397.6193043932817
148,1824.6142799187546
149,2504.673680948075
