Iter,Iter Cost,Cost Best
0,1867.9174720351746,1867.9174720351746
1,1716.0209118973207,1716.0209118973207
2,1123.4913972306101,1123.4913972306101
3,1161.7771512297447,1123.4913972306101
4,1130.8214176055633,1123.4913972306101
5,1577.6475418978607,1123.4913972306101
6,1180.9900219429678,1123.4913972306101
7,1205.1006888237876,1123.4913972306101
8,1564.4988190100555,1123.4913972306101
9,1125.2721522675934,1123.4913972306101
10,1100.1308157145256,1100.1308157145256
11,1111.1319496065519,1100.1308157145256
12,1800.6405332229301,1100.1308157145256
13,1221.8810233037464,1100.1308157145256
14,1109.4471233357738,1100.1308157145256
15,1120.154556225843,1100.1308157145256
16,1497.345193626361,1100.1308157145256
17,1517.5240754912984,1100.1308157145256
18,1122.875639312134,1100.1308157145256
19,1114.6232903508817,1100.1308157145256
20,1032.324633380163,1032.324633380163
21,1082.2311707702625,1032.324633380163
22,1132.5448786830923,1032.324633380163
23,1681.4036450864332,1032.324633380163
24,1055.5809097990905,1032.324633380163
25,1058.103579673427,1032.324633380163
26,1090.7655780808782,1032.324633380163
27,1084.0305447470523,1032.324633380163
28,1038.745951864455,1032.324633380163
29,1032.324633380163,1032.324633380163
30,1042.6738445608255,1032.324633380163
31,1035.2702327986367,1032.324633380163
32,1035.538231065949,1032.324633380163
33,1697.8830560830704,1032.324633380163
34,1661.2559676297817,1032.324633380163
35,1051.814149863622,1032.324633380163
36,1067.839408261451,1032.324633380163
37,1137.1367358405614,1032.324633380163
38,1024.7271642771532,1024.7271642771532
39,1118.5534884050928,1024.7271642771532
40,1020.7359312893983,1020.7359312893983
41,1099.4434084572558,1020.7359312893983
42,1057.0993628270892,1020.7359312893983
43,1095.2375557336088,1020.7359312893983
44,1458.9834279309478,1020.7359312893983
45,1052.6802525507974,1020.7359312893983
46,1893.2308208194206,1020.7359312893983
47,1173.2514589907414,1020.7359312893983
48,1028.502179388284,1020.7359312893983
49,1219.9202894685507,1020.7359312893983
50,1099.548826988511,1020.7359312893983
51,1072.273981738017,1020.7359312893983
52,1023.1334545918719,1020.7359312893983
53,1110.0648100301619,1020.7359312893983
54,1099.9589741483271,1020.7359312893983
55,1113.3142050798292,1020.7359312893983
56,1039.5596333686253,1020.7359312893983
57,1339.5249419518725,1020.7359312893983
58,1548.9758222644437,1020.7359312893983
59,1368.0455519931038,1020.7359312893983
60,1025.9484544532008,1020.7359312893983
61,1035.264762074449,1020.7359312893983
62,1687.3538178470778,1020.7359312893983
63,1108.2216953802629,1020.7359312893983
64,1007.1431468579824,1007.1431468579824
65,1007.1431468579825,1007.1431468579824
66,1403.7390865764946,1007.1431468579824
67,1024.0538151384574,1007.1431468579824
68,1101.8778757720356,1007.1431468579824
69,1034.5609498414174,1007.1431468579824
70,1026.9065322449017,1007.1431468579824
71,1203.9496897686222,1007.1431468579824
72,1024.7013027912205,1007.1431468579824
73,1180.8422688061823,1007.1431468579824
74,1192.816021157553,1007.1431468579824
75,1036.232859649393,1007.1431468579824
76,1029.1036304134047,1007.1431468579824
77,1007.1431468579824,1007.1431468579824
78,1029.2140724742987,1007.1431468579824
79,1079.0215760934725,1007.1431468579824
80,1521.1664991022449,1007.1431468579824
81,1007.1431468579824,1007.1431468579824
82,1045.7825404123137,1007.1431468579824
83,1007.1431468579823,1007.1431468579823
84,1012.355670021785,1007.1431468579823
85,1031.0325289876014,1007.1431468579823
86,1039.6988658330552,1007.1431468579823
87,1055.7589938984374,1007.1431468579823
88,1015.5609309844715,1007.1431468579823
89,1015.5609309844715,1007.1431468579823
90,1662.1387321041211,1007.1431468579823
91,1883.2292633697193,1007.1431468579823
92,1646.1301770293223,1007.1431468579823
93,1082.8824526408946,1007.1431468579823
94,1030.0897617194598,1007.1431468579823
95,1132.9708029064113,1007.1431468579823
96,1125.6710626794184,1007.1431468579823
97,1057.2755142818728,1007.1431468579823
98,1021.2580274906188,1007.1431468579823
99,1021.9822494687635,1007.1431468579823
100,1861.8530873420445,1007.1431468579823
101,1797.1971602824103,1007.1431468579823
102,1073.0269065383534,1007.1431468579823
103,1544.6306194500885,1007.1431468579823
104,1080.6814911429396,1007.1431468579823
105,1173.9069007636526,1007.1431468579823
106,1407.1223662189066,1007.1431468579823
107,1192.9488515945459,1007.1431468579823
108,1065.5323706419254,1007.1431468579823
109,1756.0388098160474,1007.1431468579823
110,1023.621065049778,1007.1431468579823
111,1032.620949112199,1007.1431468579823
112,1048.198706775662,1007.1431468579823
113,1007.1431468579824,1007.1431468579823
114,1163.2258764223182,1007.1431468579823
115,1022.4813028250295,1007.1431468579823
116,1095.3094923588374,1007.1431468579823
117,1109.8602486123416,1007.1431468579823
118,1417.5827571631257,1007.1431468579823
119,1681.2668477181664,1007.1431468579823
120,1077.433867807687,1007.1431468579823
121,1079.6345933073412,1007.1431468579823
122,1116.2388922599464,1007.1431468579823
123,1183.6567349279344,1007.1431468579823
124,1114.9454591589479,1007.1431468579823
125,1030.465815717268,1007.1431468579823
126,1087.2668200117946,1007.1431468579823
127,1569.07757636,1007.1431468579823
128,1063.2335552418824,1007.1431468579823
129,1109.7146365888157,1007.1431468579823
130,1015.5609309844716,1007.1431468579823
131,1007.1431468579824,1007.1431468579823
132,1007.1431468579823,1007.1431468579823
133,1687.6450417485628,1007.1431468579823
134,1190.3401449809403,1007.1431468579823
135,1090.4581349214543,1007.1431468579823
136,1040.2377788822514,1007.1431468579823
137,1070.6441425631303,1007.1431468579823
138,1395.8923164256098,1007.1431468579823
139,1040.5998163135935,1007.1431468579823
140,1133.6535897663205,1007.1431468579823
141,1047.3910791522376,1007.1431468579823
142,1358.6808618324972,1007.1431468579823
143,1949.8751991753766,1007.1431468579823
144,1080.417864716125,1007.1431468579823
145,1088.4028715412596,1007.1431468579823
146,1772.6594513789605,1007.1431468579823
147,1055.0189060863474,1007.1431468579823
148,1842.0405594634267,1007.1431468579823
149,1267.1840553150473,1007.1431468579823
