Iter,Cost
0,292.86344214380097
1,301.64763939770876
2,254.81107542146134
3,254.81107542146137
4,254.81107542146134
5,298.63847671916074
6,254.81107542146134
7,254.81107542146134
8,265.4282300013054
9,254.81107542146134
10,254.81107542146134
11,312.4689988889809
12,254.81107542146137
13,299.66863975338794
14,277.86705674206377
15,254.81107542146134
16,254.81107542146134
17,288.6494961144053
18,280.1898450550059
19,254.81107542146134
20,254.81107542146134
21,254.81107542146134
22,254.81107542146134
23,254.81107542146134
24,254.81107542146134
25,254.81107542146137
26,280.249461479978
27,312.2502495314058
28,265.541290427249
29,261.31279995170644
30,254.81107542146134
31,254.81107542146137
32,254.8110754214614
33,254.81107542146134
34,308.4113635773588
35,254.81107542146134
36,254.81107542146134
37,254.81107542146134
38,254.81107542146134
39,254.81107542146134
40,254.81107542146134
41,254.81107542146134
42,254.81107542146134
43,254.8110754214614
44,254.81107542146134
45,254.81107542146134
46,270.51574096917733
47,254.81107542146134
48,254.81107542146134
49,254.81107542146134
50,277.8670567420637
51,254.81107542146134
52,254.81107542146134
53,254.81107542146134
54,254.81107542146134
55,254.81107542146134
56,254.81107542146134
57,289.49130205227357
58,254.81107542146134
59,254.81107542146134
60,254.81107542146137
61,254.8110754214614
62,254.81107542146134
63,305.27975075124795
64,254.81107542146134
65,254.81107542146134
66,254.81107542146134
67,254.81107542146134
68,254.81107542146134
69,254.81107542146137
70,254.81107542146134
71,288.6494961144053
72,292.97650256974464
73,250.43184459956817
74,254.81107542146134
75,254.81107542146134
76,254.81107542146134
77,254.81107542146134
78,254.81107542146134
79,254.81107542146134
80,254.81107542146134
81,254.81107542146134
82,262.056089909778
83,254.81107542146134
84,250.4318445995682
85,250.4318445995682
86,254.81107542146134
87,254.81107542146134
88,265.54129042724907
89,254.81107542146134
90,249.0176310371951
91,250.43184459956817
92,254.81107542146134
93,254.81107542146134
94,296.1834392359169
95,254.81107542146134
96,254.81107542146134
97,254.81107542146134
98,274.4744269046182
99,254.81107542146134
100,250.43184459956817
101,249.0176310371951
102,285.2773560228779
103,254.81107542146134
104,265.42823000130534
105,249.0176310371951
106,254.81107542146134
107,260.6418763474049
108,250.43184459956817
109,277.8670567420637
110,268.56559974479615
111,254.81107542146134
112,254.81107542146134
113,321.29644643471863
114,254.81107542146134
115,254.81107542146134
116,289.49130205227357
117,250.4318445995682
118,285.05630487979664
119,250.43184459956817
120,254.81107542146134
121,254.7926656125549
122,254.81107542146134
123,254.81107542146134
124,273.6531107126681
125,254.81107542146134
126,254.81107542146134
127,254.81107542146134
128,249.0176310371951
129,254.81107542146134
130,254.81107542146134
131,284.5591939257071
132,254.81107542146134
133,261.31279995170644
134,254.81107542146134
135,254.81107542146134
136,254.81107542146134
137,254.81107542146134
138,250.4318445995682
139,300.16575070747757
140,249.0176310371951
141,279.56193787249015
142,249.0176310371951
143,295.8396505672955
144,250.43184459956817
145,285.97340748808017
146,250.43184459956817
147,301.6330949515618
148,250.4318445995682
149,254.81107542146134
