Iter,Cost
0,2572.4266866967396
1,1278.5551779434659
2,802.5971757131147
3,983.1307849623831
4,1270.709238730363
5,734.0495579637375
6,735.8365851961868
7,735.8365851961868
8,839.5925258509269
9,1991.8656952462416
10,964.4513628533937
11,723.7000883282843
12,1488.2979545320677
13,1794.811724326418
14,728.3647991422706
15,722.4562103003982
16,673.6033799869405
17,697.9135616251267
18,933.5523922505868
19,673.0336082888151
20,678.5440532138651
21,674.046118214638
22,812.1330837213138
23,671.2769240867055
24,1210.5359971562298
25,778.7050454084773
26,2380.8231822921016
27,1405.2203228869316
28,1113.902769582032
29,667.7512478258785
30,1004.0165742733292
31,726.5457124938996
32,704.8166589418001
33,698.4424844092662
34,860.8025305260214
35,669.4131516155691
36,1135.788139984223
37,669.6891497076781
38,632.8643651229629
39,1346.7215600994928
40,2118.158961276345
41,632.8643651229629
42,823.6740939373085
43,2581.1368721642975
44,673.8061584560971
45,673.9253147076977
46,629.4382744492984
47,629.4382744492984
48,705.4667361816067
49,632.3783272103075
50,632.3783272103075
51,1182.9786466558826
52,1487.3284588924782
53,673.158378377959
54,1479.5733663640249
55,2312.2005899904266
56,1211.4288217940614
57,660.8219333755919
58,659.9277818664118
59,688.4149892669413
60,701.8842717302209
61,644.8026239321823
62,711.3767430121495
63,656.6515186556187
64,644.7788291533376
65,725.4569134378492
66,660.9909814807467
67,629.6073225544533
68,647.7426766931914
69,647.7426766931914
70,675.8070904628826
71,2106.947739994225
72,632.8643651229629
73,718.2744486274975
74,696.5970073850995
75,660.9909814807467
76,2329.420531758009
77,629.6073225544533
78,721.8198259572191
79,663.1868657415747
80,662.9397751010845
81,634.8146967769885
82,651.8800773437563
83,670.8981998078106
84,636.4600833607702
85,733.0204023575945
86,890.7940453480668
87,678.8907562298127
88,2205.8269311445088
89,673.158378377959
90,992.4985906679457
91,1150.287890875523
92,666.1563707667669
93,1748.7156527049592
94,650.7574166244483
95,633.9830850010422
96,749.7707777990136
97,677.5567067878012
98,732.8652144170334
99,1349.4504855230248
100,657.7592601787512
101,761.9073416854296
102,1142.1829443341992
103,686.3372408683933
104,635.5942442775113
105,657.6529332810991
106,662.4061826054553
107,1749.2786993388331
108,1081.6026734628506
109,630.173880436508
110,837.8135123500238
111,922.8244964157075
112,629.6073225544533
113,708.9239176958142
114,637.4261403095918
115,2053.6877498337167
116,1676.7770224760066
117,629.4382744492985
118,652.6504069580253
119,651.5277462387173
120,698.4097138567221
121,678.8564558087731
122,1739.778103293469
123,736.8236421535958
124,1067.2874545755571
125,638.1608354050376
126,637.7500272986734
127,1928.3137889268469
128,1052.9576371701762
129,910.6860549100325
130,656.8764180815933
131,1793.65007470217
132,882.7033712564246
133,1311.2827818967492
134,1652.032626458947
135,668.8452032273021
136,770.027150053968
137,633.9830850010422
138,866.2903735833986
139,884.0803814200333
140,1107.1885888828597
141,637.3617634244843
142,629.4382744492985
143,1603.2938248337614
144,1082.3658168010984
145,1975.6958483744736
146,769.3355393912768
147,2607.8215072305247
148,644.971672037337
149,657.6837160669301
