Iter,Cost
0,2064.932028488872
1,1950.3823450625061
2,2027.112385423745
3,1527.0075024443981
4,1795.3458393793353
5,2184.15719497769
6,1520.0524022621717
7,2053.8901990464137
8,1367.0511822714388
9,1353.0051692363227
10,1638.2750957034525
11,1457.9763912972865
12,1414.3640109607693
13,2146.654825299915
14,1354.648878066576
15,1457.9145346409202
16,1381.9748891218417
17,1500.43598454079
18,1367.0962803879881
19,1991.8202658448095
20,1347.94814555472
21,1344.792306596073
22,1330.2987275953535
23,1369.004470342901
24,1399.8241717575133
25,1409.101884580674
26,1533.812200020911
27,1429.720665396547
28,1564.7906546045242
29,1332.2843277117622
30,1344.2532381185931
31,1442.7883300463136
32,2090.2402503251587
33,1364.4252911210638
34,1496.5810527428139
35,1345.3675807939462
36,1481.234519292835
37,2308.059721508781
38,2111.2486196060186
39,1330.4855173166293
40,1372.2702195684385
41,1356.6891660746587
42,1353.430034933871
43,1416.7473400118492
44,2353.1102326137852
45,1325.946049682058
46,2040.797381464817
47,1724.4045051047506
48,1325.9460496820577
49,1319.6981090310567
50,1363.8482900554814
51,1680.8686388122073
52,1320.401609868169
53,1349.8526948524857
54,1285.9724981058687
55,1401.6903535496608
56,1288.252122739652
57,1334.1060178107148
58,1361.093813419287
59,1295.9096173767184
60,1295.9096173767184
61,1252.8637689793627
62,1331.9444661093212
63,1442.7499651799208
64,1936.6955139639667
65,1324.61479210863
66,1251.7245234221261
67,1480.9609959748855
68,1333.7780294184818
69,1917.0003548667003
70,1666.1882677513688
71,1377.4262258544727
72,2319.200434116755
73,1284.0358583523675
74,1248.2435041968633
75,1827.982335812981
76,1198.5481358375205
77,1216.6045438753108
78,1304.5913016984236
79,1198.5481358375205
80,1267.449073966431
81,1198.5481358375205
82,1601.8220368964126
83,1198.5481358375205
84,2287.720583483219
85,1206.097039719025
86,1198.4470895773761
87,1561.7006732162795
88,1190.9796725248896
89,1236.0850899229936
90,1493.5149240298742
91,1459.6372239466282
92,1359.7137978258595
93,1190.9796725248893
94,1259.15140203698
95,1190.9796725248893
96,1459.7869717775882
97,1193.4157078338906
98,1190.9796725248896
99,1203.4037459398724
100,1190.9796725248896
101,1324.6263691823556
102,1215.8992235663811
103,1213.109432881563
104,1321.5833116619613
105,1690.7790803945659
106,1562.215004094154
107,1193.4157078338906
108,2397.091812745799
109,1220.4795860558377
110,1190.9796725248896
111,1194.4927908787122
112,1343.025551535232
113,1460.0410269550025
114,1183.1214891450836
115,1292.1588694278755
116,1338.0280652318643
117,1452.6481240697099
118,1183.1214891450838
119,1250.0891116452162
120,2499.248341570735
121,1770.11547053448
122,1260.2511335694735
123,1180.1550681338006
124,1180.1550681338006
125,1225.3073772136104
126,1216.823239836689
127,1926.2391822009427
128,1619.8969742980512
129,1807.168459056302
130,1172.1377475758013
131,1231.0062089867022
132,1227.3708150036155
133,1172.137747575801
134,1189.3869630310896
135,2268.35633520366
136,1564.563135239343
137,1541.4321210524638
138,1366.8906977861927
139,2141.7334305005825
140,1317.695381775953
141,1372.131747792081
142,1419.2903384319345
143,1313.5488514968017
144,1533.6286344342543
145,1172.1377475758013
146,1297.6205979830002
147,1278.9707863800631
148,1174.4173722095843
149,1681.1969796905823
