Iter,Cost
0,543.6019870125745
1,507.5611326510192
2,443.2674387762347
3,470.09337806731503
4,443.2674387762347
5,475.5755895243244
6,443.2674387762347
7,480.8696219991288
8,431.01239283355164
9,480.8696219991288
10,431.01239283355164
11,575.6677765056675
12,431.01239283355164
13,431.01239283355164
14,480.8696219991288
15,431.01239283355164
16,473.0909019856805
17,435.15924261356514
18,431.01239283355164
19,493.9300978894886
20,527.2945059692349
21,431.01239283355164
22,495.84629674867216
23,480.8696219991288
24,480.8696219991288
25,435.15924261356514
26,431.01239283355164
27,431.01239283355164
28,441.0083641917722
29,431.01239283355164
30,435.15924261356514
31,431.01239283355164
32,431.01239283355164
33,431.01239283355164
34,604.8616349129161
35,480.8696219991288
36,431.01239283355164
37,480.8696219991288
38,431.01239283355164
39,431.01239283355164
40,431.01239283355164
41,431.01239283355164
42,431.01239283355164
43,431.01239283355164
44,575.170240703822
45,431.01239283355164
46,431.01239283355164
47,480.8696219991288
48,431.01239283355164
49,431.01239283355164
50,480.8696219991288
51,431.01239283355164
52,480.8696219991288
53,480.8696219991288
54,431.01239283355164
55,480.8696219991288
56,431.01239283355164
57,431.01239283355164
58,480.8696219991288
59,431.01239283355164
60,431.01239283355164
61,480.8696219991288
62,431.01239283355164
63,480.8696219991288
64,431.01239283355164
65,431.01239283355164
66,431.01239283355164
67,514.0900082829875
68,480.8696219991288
69,431.01239283355164
70,431.01239283355164
71,431.01239283355164
72,431.01239283355164
73,431.01239283355164
74,435.15924261356514
75,431.01239283355164
76,431.01239283355164
77,480.8696219991288
78,431.01239283355164
79,431.01239283355164
80,480.8696219991288
81,431.01239283355164
82,431.01239283355164
83,431.01239283355164
84,480.8696219991288
85,431.01239283355164
86,431.01239283355164
87,431.01239283355164
88,431.01239283355164
89,431.01239283355164
90,441.0083641917722
91,431.01239283355164
92,431.01239283355164
93,431.01239283355164
94,431.01239283355164
95,431.01239283355164
96,431.01239283355164
97,431.01239283355164
98,431.01239283355164
99,618.3494050211918
100,468.60036329833576
101,431.01239283355164
102,431.01239283355164
103,623.9215249868803
104,431.01239283355164
105,434.1044410131856
106,431.01239283355164
107,431.01239283355164
108,480.8696219991288
109,506.73868031715404
110,443.93828559877335
111,431.01239283355164
112,480.8696219991288
113,480.8696219991288
114,497.85695861043325
115,521.7739419022898
116,431.01239283355164
117,431.01239283355164
118,431.01239283355164
119,431.01239283355164
120,545.1378346186052
121,431.01239283355164
122,431.01239283355164
123,431.01239283355164
124,434.1044410131856
125,431.01239283355164
126,431.01239283355164
127,480.8696219991288
128,443.93828559877335
129,434.1044410131856
130,431.01239283355164
131,480.8696219991288
132,431.01239283355164
133,489.65509276434966
134,431.01239283355164
135,431.01239283355164
136,480.8696219991288
137,480.8696219991288
138,431.01239283355164
139,480.8696219991288
140,431.01239283355164
141,431.01239283355164
142,431.01239283355164
143,434.1044410131856
144,546.2486920438288
145,431.01239283355164
146,549.8840145924244
147,431.01239283355164
148,431.01239283355164
149,443.93828559877335
