Iter,Iter Cost,Cost Best
0,399.9107005103103,370.3898382242979
1,373.4885074625128,370.3898382242979
2,378.94256981653507,370.3898382242979
3,348.6046524899242,348.6046524899242
4,348.6046524899242,348.6046524899242
5,348.6046524899242,348.6046524899242
6,348.6046524899242,348.6046524899242
7,387.10875906442305,348.6046524899242
8,348.6046524899242,348.6046524899242
9,348.6046524899242,348.6046524899242
10,393.78280302268695,348.6046524899242
11,418.1079629032959,348.6046524899242
12,358.9018763712039,348.6046524899242
13,434.42520398701663,348.6046524899242
14,348.6046524899242,348.6046524899242
15,348.6046524899242,348.6046524899242
16,348.6046524899242,348.6046524899242
17,348.6046524899242,348.6046524899242
18,348.6046524899242,348.6046524899242
19,348.6046524899242,348.6046524899242
20,363.7954981902385,348.6046524899242
21,348.6046524899242,348.6046524899242
22,348.6046524899242,348.6046524899242
23,348.6046524899242,348.6046524899242
24,348.6046524899242,348.6046524899242
25,348.6046524899242,348.6046524899242
26,385.14693824648464,348.6046524899242
27,348.6046524899242,348.6046524899242
28,348.6046524899242,348.6046524899242
29,317.0326094452163,317.0326094452163
30,348.6046524899242,317.0326094452163
31,381.22559083710826,317.0326094452163
32,348.6046524899242,317.0326094452163
33,317.0326094452163,317.0326094452163
34,348.6046524899242,317.0326094452163
35,348.6046524899242,317.0326094452163
36,348.6046524899242,317.0326094452163
37,381.22559083710826,317.0326094452163
38,317.0326094452163,317.0326094452163
39,394.9429676197748,317.0326094452163
40,381.22559083710826,317.0326094452163
41,388.5442455411012,317.0326094452163
42,348.6046524899242,317.0326094452163
43,348.6046524899242,317.0326094452163
44,317.0326094452163,317.0326094452163
45,348.6046524899242,317.0326094452163
46,348.6046524899242,317.0326094452163
47,411.485063781636,317.0326094452163
48,348.6046524899242,317.0326094452163
49,348.6046524899242,317.0326094452163
50,348.6046524899242,317.0326094452163
51,348.6046524899242,317.0326094452163
52,325.35124167670244,317.0326094452163
53,348.6046524899242,317.0326094452163
54,348.6046524899242,317.0326094452163
55,348.6046524899242,317.0326094452163
56,348.6046524899242,317.0326094452163
57,325.35124167670244,317.0326094452163
58,317.0326094452163,317.0326094452163
59,348.6046524899242,317.0326094452163
60,348.6046524899242,317.0326094452163
61,348.6046524899242,317.0326094452163
62,348.6046524899242,317.0326094452163
63,358.9018763712039,317.0326094452163
64,411.62859878836207,317.0326094452163
65,348.6046524899242,317.0326094452163
66,407.9186899992888,317.0326094452163
67,348.6046524899242,317.0326094452163
68,348.6046524899242,317.0326094452163
69,348.6046524899242,317.0326094452163
70,348.6046524899242,317.0326094452163
71,348.6046524899242,317.0326094452163
72,397.9367539967875,317.0326094452163
73,348.6046524899242,317.0326094452163
74,317.0326094452163,317.0326094452163
75,407.9186899992888,317.0326094452163
76,317.0326094452163,317.0326094452163
77,348.6046524899242,317.0326094452163
78,371.6117171126034,317.0326094452163
79,348.6046524899242,317.0326094452163
80,348.6046524899242,317.0326094452163
81,348.6046524899242,317.0326094452163
82,348.6046524899242,317.0326094452163
83,317.0326094452163,317.0326094452163
84,317.0326094452163,317.0326094452163
85,317.0326094452163,317.0326094452163
86,317.0326094452163,317.0326094452163
87,348.6046524899242,317.0326094452163
88,317.0326094452163,317.0326094452163
89,317.0326094452163,317.0326094452163
90,348.6046524899242,317.0326094452163
91,391.5413861401007,317.0326094452163
92,333.11079312315013,317.0326094452163
93,435.5256842360044,317.0326094452163
94,317.0326094452163,317.0326094452163
95,348.6046524899242,317.0326094452163
96,413.8094895379295,317.0326094452163
97,348.6046524899242,317.0326094452163
98,317.0326094452163,317.0326094452163
99,348.6046524899242,317.0326094452163
100,348.6046524899242,317.0326094452163
101,393.27949027003956,317.0326094452163
102,317.0326094452163,317.0326094452163
103,325.35124167670244,317.0326094452163
104,348.6046524899242,317.0326094452163
105,348.6046524899242,317.0326094452163
106,348.6046524899242,317.0326094452163
107,397.9367539967875,317.0326094452163
108,381.49460221387324,317.0326094452163
109,348.6046524899242,317.0326094452163
110,397.9367539967875,317.0326094452163
111,317.0326094452163,317.0326094452163
112,348.6046524899242,317.0326094452163
113,348.6046524899242,317.0326094452163
114,348.6046524899242,317.0326094452163
115,413.8094895379295,317.0326094452163
116,348.6046524899242,317.0326094452163
117,348.6046524899242,317.0326094452163
118,348.6046524899242,317.0326094452163
119,348.6046524899242,317.0326094452163
120,348.6046524899242,317.0326094452163
121,317.0326094452163,317.0326094452163
122,348.6046524899242,317.0326094452163
123,317.0326094452163,317.0326094452163
124,369.3058320231214,317.0326094452163
125,317.0326094452163,317.0326094452163
126,348.6046524899242,317.0326094452163
127,348.6046524899242,317.0326094452163
128,446.0800031925237,317.0326094452163
129,317.0326094452163,317.0326094452163
130,348.6046524899242,317.0326094452163
131,332.2234551455305,317.0326094452163
132,317.0326094452163,317.0326094452163
133,348.6046524899242,317.0326094452163
134,397.9367539967875,317.0326094452163
135,413.8094895379295,317.0326094452163
136,348.6046524899242,317.0326094452163
137,348.6046524899242,317.0326094452163
138,411.62859878836207,317.0326094452163
139,406.12703087442287,317.0326094452163
140,325.35124167670244,317.0326094452163
141,397.9367539967875,317.0326094452163
142,371.12285507001843,317.0326094452163
143,317.0326094452163,317.0326094452163
144,371.6117171126034,317.0326094452163
145,348.6046524899242,317.0326094452163
146,317.0326094452163,317.0326094452163
147,317.0326094452163,317.0326094452163
148,317.0326094452163,317.0326094452163
149,348.6046524899242,317.0326094452163
