Iter,Cost
0,370.3898382242979
1,348.6046524899242
2,348.6046524899242
3,348.6046524899242
4,348.6046524899242
5,348.6046524899242
6,348.6046524899242
7,348.6046524899242
8,348.6046524899242
9,348.6046524899242
10,348.6046524899242
11,348.6046524899242
12,348.6046524899242
13,348.6046524899242
14,348.6046524899242
15,348.6046524899242
16,348.6046524899242
17,348.6046524899242
18,348.6046524899242
19,348.6046524899242
20,348.6046524899242
21,348.6046524899242
22,348.6046524899242
23,348.6046524899242
24,348.6046524899242
25,348.6046524899242
26,348.6046524899242
27,348.6046524899242
28,348.6046524899242
29,348.6046524899242
30,348.6046524899242
31,348.6046524899242
32,348.6046524899242
33,348.6046524899242
34,348.6046524899242
35,348.6046524899242
36,348.6046524899242
37,348.6046524899242
38,348.6046524899242
39,348.6046524899242
40,348.6046524899242
41,348.6046524899242
42,348.6046524899242
43,348.6046524899242
44,348.6046524899242
45,348.6046524899242
46,348.6046524899242
47,348.6046524899242
48,348.6046524899242
49,348.6046524899242
