Iter,Cost
0,1867.9174720351746
1,1716.0209118973207
2,1123.4913972306101
3,1161.7771512297447
4,1130.8214176055633
5,1577.6475418978607
6,1180.9900219429678
7,1074.8746599974882
8,1706.3185827135435
9,1057.193699648177
10,1072.2254017472337
11,1039.6447352498926
12,1785.093490828103
13,1070.3674442732863
14,1041.68188585497
15,1367.6700578144505
16,1032.3263555495205
17,1125.2857946743393
18,1084.9544577185561
19,1032.3263555495205
20,1747.4006788118475
21,1060.01834782412
22,1907.717915304231
23,1035.1099659638833
24,1128.9629879459683
25,1022.2596900707816
26,1066.2817480917554
27,1096.1480207899394
28,1060.6658255509756
29,1043.7721429955361
30,1054.4639347599605
31,1041.8416833551855
32,1051.364216905984
33,1141.3662126042702
34,1065.0712754798656
35,1043.2108426579741
36,1054.370703102564
37,1108.2829485117684
38,1029.0045526339159
39,1091.9317434995273
40,1022.2596900707815
41,1076.2538236142057
42,1022.8869380536784
43,1609.0857944599252
44,1133.8039648413626
45,1352.9665242090405
46,1032.33333789794
47,1052.4425916636342
48,1053.7451353802512
49,1070.5999598701856
50,1022.2596900707815
51,1366.730279519717
52,1074.8863843241597
53,1095.5972123932147
54,1061.052052156379
55,1122.937739239608
56,1138.550419596075
57,1193.6135035711677
58,1034.8653895902394
59,1265.6064756533503
60,1197.5829137595185
61,1085.1951739505569
62,1037.560254622627
63,1379.4106744773526
64,1123.6920600741064
65,2009.641064660617
66,1210.2075462770367
67,1682.5408150067242
68,1032.2387618294658
69,1172.2861507092
70,1108.94642002487
71,1029.0045526339159
72,1024.0977034251264
73,1039.071218112655
74,1672.1980781411428
75,1054.7791000532488
76,1024.7260864709538
77,1527.7443682085222
78,1087.0763955594095
79,1072.7812927588955
80,1037.4705784734101
81,1517.706735141649
82,1048.1365855865308
83,1036.0948482166268
84,1039.5494340350692
85,1043.1151355201866
86,1093.2088552065577
87,1271.6416792358878
88,1512.3486385142892
89,1925.402417648135
90,1490.3981819438484
91,1095.3120255905178
92,1022.2596900707816
93,1092.9746183360135
94,1306.246320530538
95,1055.1376435199545
96,1216.781163558186
97,1009.2750139599889
98,1037.7283917128366
99,1035.5422817633478
100,1038.3441926915914
101,1038.4657736859574
102,1038.3441926915914
103,1037.4984149788766
104,1041.3897345720995
105,1014.0957419396802
106,1116.2064647083444
107,1009.2750139599889
108,1033.8895460620365
109,1083.8046876914207
110,1101.9899978381388
111,1047.5770488733729
112,1075.4708183415157
113,1722.051991704648
114,1145.3703293997307
115,1020.7184034659198
116,1034.0067155422037
117,1047.3621879966968
118,1089.2700936780827
119,1156.3645388330372
120,1072.0188746841
121,1088.2903333571635
122,1075.7767942898242
123,1161.3404805838934
124,1092.4960359033257
125,1006.9048389919616
126,1033.5878468713686
127,1006.9048389919615
128,1789.6577746291148
129,1413.1243497155106
130,1006.9048389919615
131,1035.6160214215927
132,1109.625433993198
133,1034.6921089991208
134,1464.3684644387754
135,1045.8481331196588
136,1052.4803616545698
137,1012.5130083975087
138,1056.8733260381764
139,1847.2674685050276
140,1035.974017723564
141,1065.694267272596
142,1041.3307053746294
143,1027.4150363843619
144,1087.2272547379453
145,1097.958203513334
146,1460.357061605848
147,1098.820225626111
148,1035.1854875108672
149,1758.0586454137347
